dataset,model,condition,bias,split,seed,rmse,mae,r2,pearson_r,train_model_type,train_n_train,train_best_epoch,train_best_val_loss,train_training_time_seconds,train_total_epochs
solubility,lgbm_descriptors,mw_narrow,property_range,random,42,1.498723649530011,1.0911406017303293,0.5726613084597658,0.7598579367640885,fingerprint,3138,,,,
solubility,lgbm_descriptors,mw_narrow,property_range,random,123,1.513751263351022,1.0877927887575387,0.5640485442055918,0.7546222850267943,fingerprint,3138,,,,
solubility,lgbm_descriptors,mw_narrow,property_range,random,7,1.510414051144759,1.0912089579766773,0.565968620326001,0.7555080492079719,fingerprint,3138,,,,
solubility,gnn,mw_narrow,property_range,random,42,1.2963735348333143,0.9403175411225991,0.6802655678386247,0.8248060955769005,gnn,3138,66.0,0.8073616507409633,94.49896216392517,82.0
solubility,gnn,mw_narrow,property_range,random,123,1.3408421655372753,1.0089186456878887,0.6579540814272585,0.8134284681720116,gnn,3138,27.0,1.281188160523601,56.33452129364014,43.0
solubility,gnn,mw_narrow,property_range,random,7,1.31041883006819,0.9274342162417527,0.6732998415072129,0.8216600912362453,gnn,3138,61.0,1.2244750973822056,95.20372462272644,77.0
solubility,lgbm_morgan,target_extremes_removed,target_region,random,42,1.7376109205965906,1.3407477582306444,0.42557389305243865,0.6986126740698941,fingerprint,5492,,,,
solubility,lgbm_morgan,target_extremes_removed,target_region,random,123,1.710533958010024,1.3217092208871153,0.44333682062336577,0.712119639178011,fingerprint,5492,,,,
solubility,lgbm_morgan,target_extremes_removed,target_region,random,7,1.7237290298345962,1.3309140704828566,0.4347154879634746,0.7058356591344308,fingerprint,5492,,,,
solubility,lgbm_descriptors,target_extremes_removed,target_region,random,42,1.6172669212171762,1.1305743543199804,0.5023861005661739,0.7354673873812807,fingerprint,5492,,,,
solubility,lgbm_descriptors,target_extremes_removed,target_region,random,123,1.5747610085046149,1.117678104872232,0.5281994953707873,0.7525795475319446,fingerprint,5492,,,,
solubility,lgbm_descriptors,target_extremes_removed,target_region,random,7,1.6020327446127578,1.1327107723479706,0.5117166987123496,0.7439988220430769,fingerprint,5492,,,,
solubility,gnn,target_extremes_removed,target_region,random,42,1.2837547230862147,0.9583589956402137,0.6864598195813891,0.8459678205040776,gnn,5492,29.0,0.6675273723289615,78.99281668663025,45.0
solubility,gnn,target_extremes_removed,target_region,random,123,1.3408728253988138,0.9992600672048825,0.6579384387204998,0.8445292720733053,gnn,5492,26.0,0.7456941194221621,73.87606167793274,42.0
solubility,gnn,target_extremes_removed,target_region,random,7,1.3143515365445664,0.9520039285846423,0.6713359750941477,0.8404832111387691,gnn,5492,72.0,0.6280228744764798,160.2723515033722,88.0
solubility,lgbm_morgan,substructure_aromatic_only,substructure,random,42,1.9001021344672901,1.5092886965509593,0.3131166540366802,0.5916306167322174,fingerprint,3469,,,,
solubility,lgbm_morgan,substructure_aromatic_only,substructure,random,123,1.8536330392229223,1.472670536288083,0.34630280937673186,0.6113290651598775,fingerprint,3469,,,,
solubility,lgbm_morgan,substructure_aromatic_only,substructure,random,7,1.8398103810000273,1.4604810487253326,0.3560157808977207,0.6245621448573602,fingerprint,3469,,,,
solubility,lgbm_descriptors,substructure_aromatic_only,substructure,random,42,1.3689219188608308,0.9880527212900889,0.6434779050603202,0.8032118476209578,fingerprint,3469,,,,
